"","verbatimLongitude","verbatimLatitude","url","key","observation_type","name","country","state_province","begin_date","end_date","source","remote_resource","locality","coordinate_uncertainty_in_meters","recorded_by","last_modified","prov"
"37",-110.735,39.5425,"https://ecoengine.berkeley.edu/api/observations/LACM:Mammals:092553/","LACM:Mammals:092553","specimen","Puma concolor hippolestes","United States","Utah",1961-01-01,"1961-12-31T00:00:00","https://ecoengine.berkeley.edu/api/sources/2/","","Wellington",1609,"Hoy, N D","2014-05-29T16:01:00.982756","ecoengine"
"38",-112.191,34.9593,"https://ecoengine.berkeley.edu/api/observations/LACM:Mammals:092546/","LACM:Mammals:092546","specimen","Puma concolor azteca","United States","Arizona",1917-07-27,"1917-07-27T00:00:00","https://ecoengine.berkeley.edu/api/sources/2/","","20 mi S Williams; Verde River",26210,"Hoy, N D","2014-05-29T16:01:03.208698","ecoengine"
"39",NA,NA,"https://ecoengine.berkeley.edu/api/observations/LACM:Mammals:092547/","LACM:Mammals:092547","specimen","Puma concolor hippolestes","United States","Utah",1960-11-14,"1960-11-14T00:00:00","https://ecoengine.berkeley.edu/api/sources/2/","","Avintaguin",NA,"Hoy, N D","2014-05-29T16:01:03.241005","ecoengine"
"40",NA,NA,"https://ecoengine.berkeley.edu/api/observations/LACM:Mammals:092548/","LACM:Mammals:092548","specimen","Puma concolor hippolestes","United States","Utah",1960-12-14,"1960-12-14T00:00:00","https://ecoengine.berkeley.edu/api/sources/2/","","Sheef Canyon",NA,"Hoy, N D","2014-05-29T16:01:03.273653","ecoengine"
"41",NA,NA,"https://ecoengine.berkeley.edu/api/observations/LACM:Mammals:092549/","LACM:Mammals:092549","specimen","Puma concolor hippolestes","United States","Utah",1960-12-19,"1960-12-19T00:00:00","https://ecoengine.berkeley.edu/api/sources/2/","","Sheef Canyon",NA,"Hoy, N D","2014-05-29T16:01:03.298311","ecoengine"
"42",-110.735,39.5425,"https://ecoengine.berkeley.edu/api/observations/LACM:Mammals:092551/","LACM:Mammals:092551","specimen","Puma concolor hippolestes","United States","Utah",1961-03-02,"1961-03-02T00:00:00","https://ecoengine.berkeley.edu/api/sources/2/","","Wellington",1609,"Hoy, N D","2014-05-29T16:01:03.349314","ecoengine"
"43",-107.5767,33.7692,"https://ecoengine.berkeley.edu/api/observations/LACM:Mammals:092545/","LACM:Mammals:092545","specimen","Puma concolor azteca","United States","New Mexico",1923-09-08,"1923-09-08T00:00:00","https://ecoengine.berkeley.edu/api/sources/2/","","San Mateo Mountains; Pigeon Canyon",11265,"Hoy, N D","2014-05-29T16:01:06.491940","ecoengine"
"44",-122.1197,40.8557,"https://ecoengine.berkeley.edu/api/observations/MVZ:Mamm:30519/","MVZ:Mamm:30519","specimen","Puma concolor californica","United States","California",1919-04-19,"1919-04-19T00:00:00","https://ecoengine.berkeley.edu/api/sources/17/","http://arctos.database.museum/guid/MVZ:Mamm:30519","Squaw Creek",8476,"Collector(s): C. S. Wheeler Jr.","2015-02-05T03:58:37.155753","ecoengine"
"45",-120.4879,38.9294,"https://ecoengine.berkeley.edu/api/observations/MVZ:Mamm:38308/","MVZ:Mamm:38308","specimen","Puma concolor californica","United States","California",1927-08-11,"1927-08-11T00:00:00","https://ecoengine.berkeley.edu/api/sources/17/","http://arctos.database.museum/guid/MVZ:Mamm:38308","4 mi SE Uncle Tom's Cabin",3266,"Collector(s): Jay C. Bruce","2015-02-05T04:50:14.652186","ecoengine"
"46",NA,NA,"https://ecoengine.berkeley.edu/api/observations/UCMP:V:64523/","UCMP:V:64523","fossil","Puma concolor","United States","Nevada",NA,NA,"https://ecoengine.berkeley.edu/api/sources/21/","http://ucmpdb.berkeley.edu/cgi/ucmp_query2?spec_id=V64523&one=T","Tule Springs 3",NA,"MAWBY PARTY","2016-09-30T11:27:23.880805","ecoengine"
"47",-114.315,48.1965,"https://ecoengine.berkeley.edu/api/observations/CalPhotos:6666+6666+0413+0034:1/","CalPhotos:6666+6666+0413+0034:1","photo","Puma concolor","United States","Montana",NA,NA,"https://ecoengine.berkeley.edu/api/sources/9/","http://calphotos.berkeley.edu/cgi/img_query?seq_num=565270&one=T","Kalispell",1000,"","2014-10-17T11:21:19.155347","ecoengine"
"48",-114.315,48.1965,"https://ecoengine.berkeley.edu/api/observations/CalPhotos:6666+6666+0413+0035:1/","CalPhotos:6666+6666+0413+0035:1","photo","Puma concolor","United States","Montana",NA,NA,"https://ecoengine.berkeley.edu/api/sources/9/","http://calphotos.berkeley.edu/cgi/img_query?seq_num=565271&one=T","Kalispell",1000,"","2014-10-17T11:21:19.210328","ecoengine"
"49",-114.315,48.1965,"https://ecoengine.berkeley.edu/api/observations/CalPhotos:6666+6666+0413+0036:1/","CalPhotos:6666+6666+0413+0036:1","photo","Puma concolor","United States","Montana",NA,NA,"https://ecoengine.berkeley.edu/api/sources/9/","http://calphotos.berkeley.edu/cgi/img_query?seq_num=565272&one=T","Kalispell",1000,"","2014-10-17T11:21:19.260443","ecoengine"
"50",-114.315,48.1965,"https://ecoengine.berkeley.edu/api/observations/CalPhotos:6666+6666+0413+0037:1/","CalPhotos:6666+6666+0413+0037:1","photo","Puma concolor","United States","Montana",NA,NA,"https://ecoengine.berkeley.edu/api/sources/9/","http://calphotos.berkeley.edu/cgi/img_query?seq_num=565273&one=T","Kalispell",1000,"","2014-10-17T11:21:19.310477","ecoengine"
"51",-114.315,48.1965,"https://ecoengine.berkeley.edu/api/observations/CalPhotos:6666+6666+0413+0038:1/","CalPhotos:6666+6666+0413+0038:1","photo","Puma concolor","United States","Montana",NA,NA,"https://ecoengine.berkeley.edu/api/sources/9/","http://calphotos.berkeley.edu/cgi/img_query?seq_num=565274&one=T","Kalispell",1000,"","2014-10-17T11:21:19.360786","ecoengine"
"52",-114.315,48.1965,"https://ecoengine.berkeley.edu/api/observations/CalPhotos:6666+6666+0413+0039:1/","CalPhotos:6666+6666+0413+0039:1","photo","Puma concolor","United States","Montana",NA,NA,"https://ecoengine.berkeley.edu/api/sources/9/","http://calphotos.berkeley.edu/cgi/img_query?seq_num=565275&one=T","Kalispell",1000,"","2014-10-17T11:21:19.410833","ecoengine"
"53",-114.315,48.1965,"https://ecoengine.berkeley.edu/api/observations/CalPhotos:6666+6666+0413+0040:1/","CalPhotos:6666+6666+0413+0040:1","photo","Puma concolor","United States","Montana",NA,NA,"https://ecoengine.berkeley.edu/api/sources/9/","http://calphotos.berkeley.edu/cgi/img_query?seq_num=565276&one=T","Kalispell",1000,"","2014-10-17T11:21:19.461484","ecoengine"
"54",-114.315,48.1965,"https://ecoengine.berkeley.edu/api/observations/CalPhotos:6666+6666+0413+0042:1/","CalPhotos:6666+6666+0413+0042:1","photo","Puma concolor","United States","Montana",NA,NA,"https://ecoengine.berkeley.edu/api/sources/9/","http://calphotos.berkeley.edu/cgi/img_query?seq_num=565278&one=T","Kalispell",1000,"","2014-10-17T11:21:19.511605","ecoengine"
"55",NA,NA,"https://ecoengine.berkeley.edu/api/observations/MVZ:Hild:342/","MVZ:Hild:342","specimen","Puma concolor ssp.","United States","Washington",1952-01-01,"1952-12-31T00:00:00","https://ecoengine.berkeley.edu/api/sources/16/","http://arctos.database.museum/guid/MVZ:Hild:342","from Jonas Brothers",NA,"Collector(s): unknown","2018-05-23T10:52:02.761412","ecoengine"
"56",-118.5845,35.944,"https://ecoengine.berkeley.edu/api/observations/MVZ:Mamm:34251/","MVZ:Mamm:34251","specimen","Puma concolor californica","United States","California",1924-03-27,"1924-03-27T00:00:00","https://ecoengine.berkeley.edu/api/sources/17/","http://arctos.database.museum/guid/MVZ:Mamm:34251","head of Packsaddle Creek",3218,"Collector(s): Jay C. Bruce","2015-02-05T00:38:33.704123","ecoengine"
"57",-119.6433,37.549,"https://ecoengine.berkeley.edu/api/observations/MVZ:Mamm:23652/","MVZ:Mamm:23652","specimen","Puma concolor californica","United States","California",1916-01-20,"1916-01-20T00:00:00","https://ecoengine.berkeley.edu/api/sources/17/","http://arctos.database.museum/guid/MVZ:Mamm:23652","Wawona, Yosemite National Park",1609,"Collector(s): Jay C. Bruce","2015-02-05T00:48:41.049802","ecoengine"
"58",-120.855,38.4409,"https://ecoengine.berkeley.edu/api/observations/MVZ:Mamm:175987/","MVZ:Mamm:175987","specimen","Puma concolor californica","United States","California",1985-09-24,"1985-09-24T00:00:00","https://ecoengine.berkeley.edu/api/sources/17/","http://arctos.database.museum/guid/MVZ:Mamm:175987","Drytown",160,"Collector(s): Robert E. Jones","2015-02-05T00:52:24.693179","ecoengine"
"59",-118.6341,37.4426,"https://ecoengine.berkeley.edu/api/observations/MVZ:Mamm:186057/","MVZ:Mamm:186057","specimen","Puma concolor californica","United States","California",1989-06-25,"1989-06-25T00:00:00","https://ecoengine.berkeley.edu/api/sources/17/","http://arctos.database.museum/guid/MVZ:Mamm:186057","Wells Meadow",30,"Collector(s): D. Fjelline","2015-02-05T00:59:20.813776","ecoengine"
"60",-119.206,34.555,"https://ecoengine.berkeley.edu/api/observations/MVZ:Mamm:36467/","MVZ:Mamm:36467","specimen","Puma concolor californica","United States","California",1926-04-13,"1926-04-13T00:00:00","https://ecoengine.berkeley.edu/api/sources/17/","http://arctos.database.museum/guid/MVZ:Mamm:36467","Sespe Creek",3218,"Collector(s): Jay C. Bruce","2015-02-05T00:59:23.711606","ecoengine"
"61",-117.5546,33.6294,"https://ecoengine.berkeley.edu/api/observations/MVZ:Mamm:186055/","MVZ:Mamm:186055","specimen","Puma concolor californica","United States","California",1989-08-29,"1989-08-29T00:00:00","https://ecoengine.berkeley.edu/api/sources/17/","http://arctos.database.museum/guid/MVZ:Mamm:186055","Bell Canyon Starr Ranch Audobon Sanctuary",30,"Collector(s): California Department of Fish and Wildlife, P. Beier","2016-09-30T12:19:15.171676","ecoengine"
"62",-120.589,39.0471,"https://ecoengine.berkeley.edu/api/observations/MVZ:Mamm:38312/","MVZ:Mamm:38312","specimen","Puma concolor californica","United States","California",1926-09-11,"1926-09-11T00:00:00","https://ecoengine.berkeley.edu/api/sources/17/","http://arctos.database.museum/guid/MVZ:Mamm:38312","4 mi N Blacksmith Flat",6509,"Collector(s): Jay C. Bruce","2015-02-05T01:04:46.026192","ecoengine"
"63",-114.9211,39.1002,"https://ecoengine.berkeley.edu/api/observations/MVZ:Mamm:154389/","MVZ:Mamm:154389","specimen","Puma concolor kaibabensis","United States","Nevada",1969-06-11,"1969-06-11T00:00:00","https://ecoengine.berkeley.edu/api/sources/17/","http://arctos.database.museum/guid/MVZ:Mamm:154389","Ward Mts.",12900,"Collector(s): Carl B. Koford, G. W. Carroll","2015-02-05T01:05:21.742353","ecoengine"
"64",NA,NA,"https://ecoengine.berkeley.edu/api/observations/MVZ:Mamm:154396/","MVZ:Mamm:154396","specimen","Puma concolor kaibabensis","United States","Nevada",1969-01-01,"1969-12-31T00:00:00","https://ecoengine.berkeley.edu/api/sources/17/","http://arctos.database.museum/guid/MVZ:Mamm:154396","Eastern Nevada",NA,"Collector(s): Carl B. Koford, G. W. Carroll","2015-02-05T01:07:49.732571","ecoengine"
"65",-119.6433,37.549,"https://ecoengine.berkeley.edu/api/observations/MVZ:Mamm:23654/","MVZ:Mamm:23654","specimen","Puma concolor californica","United States","California",1916-01-08,"1916-01-08T00:00:00","https://ecoengine.berkeley.edu/api/sources/17/","http://arctos.database.museum/guid/MVZ:Mamm:23654","Wawona, Yosemite National Park",1609,"Collector(s): Jay C. Bruce","2015-02-05T01:08:14.666053","ecoengine"
"66",-119.7051,37.5357,"https://ecoengine.berkeley.edu/api/observations/MVZ:Mamm:23745/","MVZ:Mamm:23745","specimen","Puma concolor californica","United States","California",1916-03-08,"1916-03-08T00:00:00","https://ecoengine.berkeley.edu/api/sources/17/","http://arctos.database.museum/guid/MVZ:Mamm:23745","7.5 mi W Wawona, Yosemite National Park",1609,"Collector(s): Jay C. Bruce","2015-02-05T01:10:35.831263","ecoengine"
"67",-114.7208,39.1899,"https://ecoengine.berkeley.edu/api/observations/MVZ:Mamm:45913/","MVZ:Mamm:45913","specimen","Puma concolor kaibabensis","United States","Nevada",1929-01-01,"1929-12-31T00:00:00","https://ecoengine.berkeley.edu/api/sources/17/","http://arctos.database.museum/guid/MVZ:Mamm:45913","Steptoe Creek, 10 mi SE Ely",428,"Collector(s): E. Raymond Hall, unknown","2015-02-05T01:13:07.004819","ecoengine"
"68",-116.6454,33.0975,"https://ecoengine.berkeley.edu/api/observations/MVZ:Mamm:10857/","MVZ:Mamm:10857","specimen","Puma concolor californica","United States","California",1906-06-07,"1906-06-07T00:00:00","https://ecoengine.berkeley.edu/api/sources/17/","http://arctos.database.museum/guid/MVZ:Mamm:10857","Wynola",30,"Collector(s): R. F. Johnson","2015-02-05T01:15:33.636770","ecoengine"
"69",-119.704,37.6519,"https://ecoengine.berkeley.edu/api/observations/MVZ:Mamm:29799/","MVZ:Mamm:29799","specimen","Puma concolor californica","United States","California",1918-12-13,"1918-12-13T00:00:00","https://ecoengine.berkeley.edu/api/sources/17/","http://arctos.database.museum/guid/MVZ:Mamm:29799","Chinquapin, Yosemite National Park",100,"Collector(s): Forest S. Townsley","2015-02-05T01:17:14.253879","ecoengine"
"70",-117.0042,34.129,"https://ecoengine.berkeley.edu/api/observations/MVZ:Mamm:7145/","MVZ:Mamm:7145","specimen","Puma concolor californica","United States","California",1906-08-01,"1906-08-31T00:00:00","https://ecoengine.berkeley.edu/api/sources/17/","http://arctos.database.museum/guid/MVZ:Mamm:7145","Coxes' Ranch, San Bernardino Mts.",44490,"Collector(s): H. E. Wilder","2015-02-05T01:17:21.481086","ecoengine"
